date,predicted_qty,lower_bound,upper_bound
2026-09-30,112.97829300504999,46.61119934924656,179.34538666085342
2026-10-01,105.5671561782235,39.0761741689211,172.0581381875259
2026-10-02,99.18495957614208,32.54915400865811,165.82076514362603
2026-10-03,116.29387573128157,49.51367818667127,183.07407327589186
2026-10-04,115.01233343258288,48.0880548142914,181.93661205087437
2026-10-05,113.21620933034593,46.148159149980046,180.28425951071182
2026-10-06,116.00215977199659,48.79065163138108,183.2136679126121
2026-10-07,111.29048282989899,44.01263645870138,178.56832920109662
2026-10-08,108.41004751409525,40.99467972934181,175.8254152988487
2026-10-09,101.12142303438944,33.56926004290449,168.67358602587439
2026-10-10,117.86579853663976,50.17711440982005,185.55448266345945
2026-10-11,113.75403768444826,45.92910723057963,181.5789681383169
2026-10-12,112.34996358941194,44.38905993050159,180.3108672483223
2026-10-13,115.18450142469744,47.087902622528304,183.28110022686658
2026-10-14,112.4214424114735,44.09356049267288,180.74932433027413
2026-10-15,109.35968420300136,40.89174245779974,177.82762594820298
2026-10-16,102.10733581086527,33.49919638035139,170.71547524137912
2026-10-17,118.86630056944074,50.11825162294129,187.6143495159402
2026-10-18,114.8678076987648,45.98013337718136,183.75548202034827
2026-10-19,113.44804339743189,44.4210261048849,182.47506068997887
2026-10-20,116.28063671998804,47.11456463773274,185.44670880224334
2026-10-21,113.43959220303819,44.04729159258156,182.83189281349482
2026-10-22,110.3850907055468,40.84979078485485,179.92039062623877
2026-10-23,103.13129051061222,33.45289469748643,172.809686323738
2026-10-24,119.8896713935666,50.06847504165394,189.71086774547928
2026-10-25,115.88664543281507,45.922939995814275,185.85035086981588
2026-10-26,114.46750906814611,44.36158420509926,184.57343393119297
2026-10-27,117.30018021191208,47.0523321667376,187.54802825708657
2026-10-28,114.4622567474278,43.98467906229813,184.93983443255746
2026-10-29,111.4074648296068,40.784020970319716,182.03090868889387
